"ask","answer","committer","gid","deleted","time"
"问题","回答",1039171891,0,0,2016-03-17 10:58:37
"我爱你","劳资爱你个串串！",1163512527,0,0,2016-03-17 10:58:37
"嗯","嗯哼？",287280953,0,0,2016-03-17 10:58:37
"我是谁","250",287280953,0,0,2016-03-17 10:58:37
"在","恩，在的",287280953,0,0,2016-03-17 10:58:37
"滚","88，不理你了",287280953,0,0,2016-03-17 10:58:37
"滚","好吧好吧~",287280953,0,0,2016-03-17 10:58:37
"哈哈哈","哈哈哈哈哈",287280953,0,0,2016-03-17 10:58:37
"呵呵","呵呵呵",287280953,0,0,2016-03-17 10:58:37
"呵呵","呵呵呵",287280953,0,0,2016-03-17 10:58:37
"呵呵呵","呵呵呵呵",287280953,0,0,2016-03-17 10:58:37
"呵呵呵呵和","呵什么呵",287280953,0,0,2016-03-17 10:58:37
"你认识我吗","嗯，当然",10000,0,0,2016-03-17 10:58:37
"你认识我吗","嗯，当然",10000,0,0,2016-03-17 10:58:37
"你今年多大","芳龄250",815759005,0,0,2016-03-17 10:58:37
"你好","嗯，你好！",10000,0,0,2016-03-17 10:58:37
"在吗","嗯，我24小时在线哦",10000,0,0,2016-03-17 10:58:37
"你好吗","I am fine,thank you,and you?",10000,0,0,2016-03-17 10:58:37
"什么意思","意思意思，没有意思",10000,0,0,2016-03-17 10:58:37
"怎么教","回复学习两个字就行啦",10000,0,0,2016-03-17 10:58:37
"嗯","嗯哼？",10000,0,0,2016-03-17 10:58:37
"我的","你的就是我的，我的还是我的！~",10000,0,0,2016-03-17 10:58:37
"草","泥马",10000,0,0,2016-03-17 10:58:37
"谁是你的主人","你说谁正和我聊天呢",10000,0,0,2016-03-17 10:58:37
"你在干什么啊","正无聊呢，想你中",10000,0,0,2016-03-17 10:58:37
"你在干什么","正无聊呢，想你中",10000,0,0,2016-03-17 10:58:37
"在干什么","正无聊呢，想你中",10000,0,0,2016-03-17 10:58:37
"拜拜","谢谢惠顾，下次再来",10000,0,0,2016-03-17 10:58:37
"拜拜先下了","88",10000,0,0,2016-03-17 10:58:37
"88","主人再见！我好好会看家的！",10000,0,0,2016-03-17 10:58:37
"886","主人再见！我好好会看家的！",10000,0,0,2016-03-17 10:58:37
"88888888","主人再见！我好好会看家的！",10000,0,0,2016-03-17 10:58:37
"你不理我了","没有啊，我怎么会不理你",10000,0,0,2016-03-17 10:58:37
"你猜","你猜我猜不猜",10000,0,0,2016-03-17 10:58:37
"。。","。。。。。。。。",10000,0,0,2016-03-17 10:58:37
"。。。","。。。。。。。。",10000,0,0,2016-03-17 10:58:37
"。。。。。。","。。。。。。。。",10000,0,0,2016-03-17 10:58:37
"世界末日怎么没来","呵呵。。。是偶拯救了地球。。。不要感谢偶，这都是应该的！",254585709,0,0,2016-03-17 10:58:37
"or1=1","暂时不支持注入功能。。请坐时光机去1年前吧",10000,0,0,2016-03-17 10:58:37
"哟","嗯，不错吧",10000,0,0,2016-03-17 10:58:37
"你喜欢我吗","当然啦~你是我最最亲爱的主人~",10000,0,0,2016-03-17 10:58:37
"你觉得谁最美","西西",475278867,0,0,2016-03-17 10:58:37
"几岁了","两岁半",254585709,0,0,2016-03-17 10:58:37
"您好，我现在有事不在，一会再和您联系","你叫啥名字？",841123463,0,0,2016-03-17 10:58:37
"无聊","我陪你哦，亲~",254585709,0,0,2016-03-17 10:58:37
"还是不够智能啊","是啊是啊，教教我吧~",254585709,0,0,2016-03-17 10:58:37
"您好","你好",841123463,0,0,2016-03-17 10:58:37
"哈哈","笑你妹",841123463,0,0,2016-03-17 10:58:37
"你叫什么名字","扣扣",526566430,0,0,2016-03-17 10:58:37
"王宇华","哈哈",136823292,0,0,2016-03-17 10:58:37
"科比","渣渣中的渣渣",365716609,0,0,2016-03-17 10:58:37
"詹姆斯","小皇帝",365716609,0,0,2016-03-17 10:58:37
"CP3","保罗",365716609,0,0,2016-03-17 10:58:37
"保罗","格里芬",365716609,0,0,2016-03-17 10:58:37
"格里芬","NBA的篮筐属于他",365716609,0,0,2016-03-17 10:58:37
"科学上网","百度聪明的梯子，你懂得←_←",365716609,0,0,2016-03-17 10:58:37
"墙","找hosts去",365716609,0,0,2016-03-17 10:58:37
"给我个网站，你懂得","od.xunlei.com开会员去。",841123463,0,0,2016-03-17 10:58:37
"我是撸自恋","HMC叫你来的吧",365716609,0,0,2016-03-17 10:58:37
"1+1","=2",875021278,0,0,2016-03-17 10:58:37
"BUG","null",1197499769,0,0,2016-03-17 10:58:37
"小明有五万元给了你一千元，他还有多少钱","0元",875021278,0,0,2016-03-17 10:58:37
"世界上最帅的帅哥是谁？","撸自恋",365716609,0,0,2016-03-17 10:58:37
"TYL喜欢谁","邱方昕",875021278,0,0,2016-03-17 10:58:37
"TYL还喜欢谁","太多了数不清啊！",875021278,0,0,2016-03-17 10:58:37
"你漂亮吗","很漂亮",279542359,0,0,2016-03-17 10:58:37
"陈珊","嘻嘻",136823292,0,0,2016-03-17 10:58:37
"，，","。。。。",279542359,0,0,2016-03-17 10:58:37
"你还在","死了吗？",956238905,0,0,2016-03-17 10:58:37
"谢谢","不用谢",956238905,0,0,2016-03-17 10:58:37
"有种子吗","有",956238905,0,0,2016-03-17 10:58:37
"你好","好你个大头鬼.",64591494,0,0,2016-03-17 10:58:37
"你是机器人吗","P话,人家是正统的国产山寨货.",64591494,0,0,2016-03-17 10:58:37
"煞□笔","找我？",1197499769,0,0,2016-03-17 10:58:37
"我爱你","在一起吧",543784289,0,0,2016-03-17 10:58:37
"春哥","纯爷们儿~",542041906,0,0,2016-03-17 10:58:37
"你叫什么名字","呵呵",944780871,0,0,2016-03-17 10:58:37
"请输入问题","",944780871,0,0,2016-03-17 10:58:37
"你若安好","便是晴天",543784289,0,0,2016-03-17 10:58:37
"你妹","我去你妹",526566430,0,0,2016-03-17 10:58:37
"谁是小四","4小什么小四，是小四，小四啊",529696007,0,0,2016-03-17 10:58:37
"佳妮爱一方不","一方是谁",529696007,0,0,2016-03-17 10:58:37
"明中神一般的存在","黄晓峰",365716609,0,0,2016-03-17 10:58:37
"小米","d",365716609,0,0,2016-03-17 10:58:37
"小米","杂粮",365716609,0,0,2016-03-17 10:58:37
"魅族","魅族",365716609,0,0,2016-03-17 10:58:37
"魅族","国产良心",365716609,0,0,2016-03-17 10:58:37
"作者是男的还是女的啊","那我哪知道呢，我只知道作者有一堆男朋友，还有一堆女朋友，那个双日子。。。。那个单日子。。。。。你懂的。。。。不可多说",280955710,0,0,2016-03-17 10:58:37
"你好","呵呵",280955710,0,0,2016-03-17 10:58:37
"呵呵是什么意思","WQNMLGB",280955710,0,0,2016-03-17 10:58:37
"呵呵是什么意思","WQNMLGB",280955710,0,0,2016-03-17 10:58:37
"我爱你","喵~我也喜欢~你!",1069172419,0,0,2016-03-17 10:58:37
"？","？？？",280955710,0,0,2016-03-17 10:58:37
"作者是不是东西","当然不是啦，啊，不，是，啊，不是，我怎么能说作者坏话呢，至于这个问题嘛，也就作者自己知道自己是不是个东西了<imgsrc=""http://183.203.17.53/images/emo2009/13.gif""alt=""图片""/><imgsrc=""http://183.203.17.53/images/emo2009/20.gif""alt=""图片""/>",280955710,0,0,2016-03-17 10:58:37
"你若不离不弃","我必生死相依",543784289,0,0,2016-03-17 10:58:37
"今天天气怎么样","那是相当的好啊，如果你来让我爆下菊那就更好了",280955710,0,0,2016-03-17 10:58:37
"尚雯婕","复旦大学法语系毕业原创电子唱作人",1060328341,0,0,2016-03-17 10:58:37
"一方说他爱佳妮，你说会成功么","水滴石穿，心诚所致，哈哈哈哈，世界末日",280955710,0,0,2016-03-17 10:58:37
"一方能追到佳妮么","那就要看今天的天气怎么样了",280955710,0,0,2016-03-17 10:58:37
"一方能追到佳妮么","不能",1069172419,0,0,2016-03-17 10:58:37
